FacilityID,CampsiteType,TypeOfUse,Loop,CampsiteAccessible,CampsiteLongitude,CampsiteLatitude,LastUpdatedDate
246796,RV,Overnight,Mandan,False,0.0,0.0,2021-06-21
10134015,RV,Overnight,A ,False,0.0,0.0,2021-06-21
10134109,Shelter,Day,Gomez Peak Group,True,0.0,0.0,2021-05-24
10134111,Picnic,Day,Little Walnut East,False,0.0,0.0,2021-06-11
233165,Cabin,Overnight,EAST BEARSKIN LAKE CAMPGROUND,True,-90.3946046668556,48.0380977450841,2022-06-29
232868,Tent,Overnight,Hike To,False,-121.769131732727,45.1136970390615,2022-11-22
255177,Tent,Overnight,WHITE ROCK MOUNTAIN RECREATION AREA,False,-93.957387,35.690772,2022-06-29
255202,Shelter,Day,Damsite and Spillway Recreation Area,True,-79.504468,40.716247,2022-06-29
255205,Hike,Overnight,Tent Loop,False,-123.490699110451,44.3246127734066,2023-09-22
10145499,Horseback,Overnight,Brickhouse,False,-81.7058447097258,34.4480974926003,2021-09-10
10145521,Horseback,Overnight,Woods Ferry,False,-81.4502729383125,34.6992185572485,2021-09-10
10145539,Hike,Overnight,Katahdin Woods and Waters,False,-68.797909978,46.113810539,2022-05-23
233257,Cabin,Overnight,Manzanita Glamping Tents,False,0.0,0.0,2021-07-14
10147280,RV,Overnight,Sather Lake,True,0.0,0.0,2021-09-14
10149034,Cabin,Overnight,,False,-72.9900306,40.6900694,2023-09-26
246814,Water,Overnight,Boca Chita Campground,False,0.0,0.0,2021-10-05
10078979,Water,Overnight,Elliot Key Campground,False,0.0,0.0,2021-10-05
256367,Hike,Overnight,Mosquito River,False,0.0,0.0,2021-08-05
10150477,Shelter,Day,Chattahoochee Park,True,-84.853681,30.743826,2022-08-21
10150481,Shelter,Day,,False,-84.665784,30.787755,2021-09-29
10150483,Shelter,Day,Hales Landing,False,-84.661542,30.847136,2021-09-29
10150485,Shelter,Day,Rays Lake Park,False,-84.850689,30.836656,2021-09-29
15045,Shelter,Overnight,Main loop,False,-111.853544,43.961886,2022-02-01
10153246,Shelter,Day,Carr Powerhouse Picnic Shelter ,True,0.0,0.0,2023-02-15
233267,Shelter,Day,PAVgrp,True,0.0,0.0,2021-11-13
10156120,Cabin,Overnight,Area Lost Horse Cabin,False,-112.438188762618,46.7600653375268,2022-11-02
10156151,RV,Overnight,Chukar Loop,False,-49.0,42.0,2022-04-20
10157316,Picnic,Day,,False,0.0,0.0,2022-04-29
10157490,Picnic,Day,Beehive Dispersed Area,False,0.0,0.0,2022-04-29
233790,Shelter,Day,LOOB,False,0.0,0.0,2021-10-21
234049,Tent,Overnight,Cold Springs,False,-96.959962807,34.500979822,2023-04-23
10158631,Shelter,Day,Spillway,False,-79.356186,39.796597,2022-03-01
10158808,Shelter,Overnight,One,False,-109.693572,40.181967,2022-09-15
246894,RV,Overnight,Monument Lake Campground,False,-81.113513422,25.867844538,2022-12-27
10159060,Shelter,Day,1,True,-93.200346,34.268512,2022-01-24
10159062,Shelter,Day,1,False,-93.185971,34.260894,2022-01-24
10159064,Shelter,Day,1,True,-93.109364,34.236428,2022-01-24
10159066,Shelter,Day,1,True,-93.098961,34.177308,2022-01-24
10159068,Shelter,Overnight,1,True,-93.201761,34.289165,2023-02-15
10159159,RV,Overnight,RV Loop,False,-88.7041333333333,31.3399166666667,2023-01-06
10159257,Shelter,Day,Holmes Bend,True,-85.267202,37.222438,2022-11-15
255286,Tent,Overnight,Toto Creek Campground,False,-83.981401,34.392037,2022-06-29
10161357,Cabin,Overnight,,False,0.0,0.0,2022-11-16
234374,Horseback,Overnight,WKHC,True,0.0,0.0,2022-07-04
255284,Shelter,Day,Seven Points Picnic Shelters,True,-78.077254,40.379779,2023-02-15
255285,Shelter,Day,Weaver Falls Shelter,True,-78.231286,40.242582,2022-06-29
255282,Shelter,Day,Tatman Run Picnic Shelter,True,-78.170995,40.310544,2022-06-29
255281,Shelter,Day,Aitch Picnic Shelter,True,-78.162913,40.376628,2022-06-29
260552,Tent,Overnight,Loop A,False,-105.852556879,40.3792628240001,2022-06-29
10163081,Cabin,Overnight,,False,-111.1558,43.18282,2022-01-25
10167549,Shelter,Day,,True,-92.082542,32.699028,2023-06-14
250043,Cabin,Overnight,Paddy Flat Guard Station,False,-115.950508,44.774721,2022-01-20
10168556,Cabin,Overnight,Sailors Haven Cottage,False,-73.100277,40.656666,2023-04-28
10172170,Tent,Overnight,Rob Hill,True,0.0,0.0,2022-03-10
233636,Shelter,Day,Boat Ramp,False,0.0,0.0,2022-06-29
10174884,Water,Overnight,Zone 1,False,-74.769748894,41.3264597670001,2022-10-26
232700,Tent,Overnight,SAWN,False,0.0,0.0,2022-06-29
